edad,ingreso_mensual_usd,n_dependientes,historial_credito,monto_solicitado_usd,tipo_prestamo,plazo_prestamo_meses,empleo_estable,propietario_vivienda,historial_endeudamiento,educacion,prestamo_aprobado
56,1346.0463199680987,2,bueno,2094.408208223308,personal,24,0,1,26.473326855134786,tecnica,0
69,2928.703968389769,2,malo,2205.684003563845,automotriz,60,1,0,3.721140610447833,secundaria,0
46,1956.4243995961174,0,bueno,4739.08026192127,hipotecario,48,1,1,6.642433374933184,tecnica,0
32,3535.738039064031,3,bueno,4209.389045120507,automotriz,48,0,1,41.3562610117323,secundaria,0
60,3293.278596877479,4,regular,4633.612163556149,automotriz,60,1,0,14.89879260521124,universitaria,0
25,2248.096170938116,4,bueno,6302.322921304626,hipotecario,60,0,1,27.29519350986202,secundaria,0
38,2588.906466130645,1,bueno,5631.471797754713,automotriz,12,0,0,36.982903924269564,secundaria,0
56,2152.6291824888385,1,malo,5611.258460916309,hipotecario,24,0,0,-3.144560787784762,universitaria,1
36,2949.8567221814624,4,regular,7892.389330990787,personal,60,1,0,31.262461801557098,universitaria,0
40,3764.1138564009907,4,bueno,2222.2168916538412,automotriz,60,1,0,26.48943606259271,tecnica,0
28,2211.419162931565,3,bueno,5207.877668297799,personal,36,0,1,36.4039728093304,tecnica,0
28,3403.2372124142757,2,regular,3841.894904105492,automotriz,60,1,0,8.18476838335373,tecnica,1
41,2575.7939053020473,1,malo,7870.871571678705,automotriz,24,1,0,34.51254656954613,secundaria,0
70,2365.7017341901246,2,regular,581.2967883533129,automotriz,48,1,0,12.605855683973097,tecnica,0
53,2914.375712036354,3,regular,669.0368285739969,hipotecario,48,0,0,30.547778142766568,secundaria,0
57,2171.806142064501,4,bueno,5609.272592696101,personal,48,1,1,19.6397896424556,secundaria,0
41,2557.0805557222543,2,bueno,7252.593118648294,automotriz,48,0,0,27.707688064351387,tecnica,0
20,2041.6976859289211,4,malo,6546.5086426341,hipotecario,36,1,1,20.48869183305153,tecnica,0
39,4571.780106333112,4,bueno,3398.038413364583,automotriz,60,1,1,1.60598415813271,secundaria,1
70,3028.210841577383,0,bueno,8012.84344400316,hipotecario,48,0,1,-11.205440229437968,universitaria,0
19,2440.2195936059315,2,regular,2537.0625028115833,automotriz,12,1,0,22.09915533983491,universitaria,0
41,3171.1839285873775,2,bueno,7614.968379086689,personal,48,0,0,17.362649623686522,secundaria,1
61,2910.1375602473363,4,malo,2801.5434992837127,personal,60,1,0,23.982209514202935,tecnica,0
47,2823.2243203734215,3,regular,4296.351655325557,automotriz,48,0,0,17.478465341564252,secundaria,1
55,3491.33336003474,0,malo,6278.539075713835,hipotecario,36,1,1,40.1807738271782,secundaria,0
19,3606.006168037844,4,regular,2067.58433820767,automotriz,24,1,1,22.305371278283044,tecnica,1
38,2575.599081911578,1,bueno,7938.046795081535,hipotecario,24,1,0,15.530522724173345,universitaria,0
50,2539.345407484256,1,regular,4284.112337197372,automotriz,60,0,0,23.37363066346866,secundaria,1
29,2779.9586422786847,0,regular,5274.552271356579,hipotecario,24,0,0,15.713252031186943,universitaria,1
39,1158.4630682115321,3,bueno,7324.401578081504,personal,24,0,0,20.929302341139874,universitaria,0
61,1787.8471502411583,4,bueno,3413.7493096657,automotriz,12,1,0,7.825198127641656,tecnica,0
42,4093.4994139556197,2,malo,7121.6273725107785,personal,60,0,0,19.914147981403946,secundaria,0
66,4315.974170801027,0,malo,8281.06714178474,personal,60,0,0,15.221476039648252,secundaria,1
44,2800.7711683548973,3,bueno,3688.8420053408418,automotriz,24,0,1,8.772633746313204,universitaria,0
59,3461.245570444613,2,bueno,7738.775345192589,automotriz,24,0,1,39.757358680726426,universitaria,0
45,3249.000123634829,1,bueno,1478.842811516794,hipotecario,24,0,1,9.162646300598338,tecnica,0
33,5463.10464676419,1,regular,5779.200789589134,hipotecario,36,0,1,20.069642234419376,universitaria,0
32,3895.6599291476614,2,regular,2542.802968592383,personal,48,0,0,11.971919650512428,tecnica,0
64,2897.6659268153867,0,regular,6885.137097072378,hipotecario,36,0,0,22.97039470879875,secundaria,1
68,2235.5676475196597,1,bueno,6720.912096844407,hipotecario,60,0,0,7.256148655310826,tecnica,0
61,1714.842943793942,4,malo,9154.759991182487,automotriz,12,0,0,28.40356823935551,universitaria,1
72,3162.7709086937784,2,bueno,7842.565965904999,hipotecario,48,1,0,40.36156186358841,secundaria,0
69,2394.9194037725574,2,regular,4668.45760479709,personal,12,1,1,11.604607628993302,tecnica,0
74,1862.1970323218607,1,regular,2836.505025402319,hipotecario,60,0,0,32.169688626813205,secundaria,0
20,2482.7416926059786,0,bueno,6131.37415933878,personal,60,1,1,16.1812065560431,tecnica,0
54,2134.7615971084842,4,bueno,4878.537179229013,automotriz,12,1,0,35.05791121076086,universitaria,1
68,4349.713308058052,0,regular,8102.310089191407,personal,12,0,1,41.88498986095991,universitaria,1
24,3705.3118055595605,3,regular,667.2383131684437,hipotecario,12,0,0,17.662949882915413,secundaria,0
38,2993.621886946706,3,regular,9376.113518577255,automotriz,60,0,1,4.7973391910534815,secundaria,0
26,4183.95531111202,1,bueno,6063.981215223607,hipotecario,24,1,0,29.480843874360897,secundaria,0
56,3061.8946461180944,1,regular,3373.9757565592554,automotriz,12,0,0,22.244172079441164,tecnica,1
35,2310.972638937389,1,regular,6467.978454837132,automotriz,48,1,0,25.01791167777641,universitaria,1
21,4218.499261815726,3,malo,7594.842842579407,hipotecario,60,0,0,16.60154958155635,secundaria,1
42,3431.128034947727,0,bueno,5228.693782607377,hipotecario,36,1,1,11.15507181339301,secundaria,0
31,2170.203076538835,0,malo,1470.159231710314,automotriz,36,1,0,31.60348180966974,secundaria,0
